RelationshipName,SourceEntityTypeName,TargetEntityTypeName
Station_BelongsTo_ProductionLine,Station,ProductionLine
ProductionSchedule_For_ProductionLine,ProductionSchedule,ProductionLine
MachineEvent_OccursOn_ProductionLine,MachineEvent,ProductionLine
MachineEvent_RunsAt_Station,MachineEvent,Station
PartEvent_OccursOn_ProductionLine,PartEvent,ProductionLine
PartEvent_ProcessedAt_Station,PartEvent,Station
MaintenanceEvent_OccursOn_ProductionLine,MaintenanceEvent,ProductionLine
MaintenanceEvent_ServicesAt_Station,MaintenanceEvent,Station
